District,Crop,Crop_Year,Season,Area ,Production,Yield,Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare)
ajmer,Bajra,1997,Kharif     ,10.09794185,7.084094457,0.361255902,Sprinkler Irrigation,11392.33063,10973.48962
ajmer,Bajra,1998,Kharif     ,10.0749508,6.170164735,0.099854228,Sprinkler Irrigation,12010.235,12905.24169
ajmer,Bajra,1999,Kharif     ,10.11809415,6.158254314,0.091542433,Canal Irrigation,8318.884321,8775.857827
ajmer,Bajra,2000,Kharif     ,10.21310005,6.429883536,0.131760131,Drip Irrigation,15896.18643,16849.76939
ajmer,Bajra,2001,Kharif     ,10.27698837,7.57368942,0.542212647,Sprinkler Irrigation,11392.33063,10973.48962
ajmer,Bajra,2002,Kharif     ,10.1391738,4.706693776,0.009908265,Sprinkler Irrigation,12010.235,12905.24169
ajmer,Bajra,2003,Kharif     ,10.56664087,7.901645578,0.614992938,Canal Irrigation,8318.884321,8775.857827
ajmer,Bajra,2004,Kharif     ,10.41378163,7.258633396,0.347524442,Drip Irrigation,15896.18643,16849.76939
ajmer,Bajra,2005,Kharif     ,10.43682726,6.14538583,0.065745179,Sprinkler Irrigation,11392.33063,10973.48962
ajmer,Bajra,2006,Kharif     ,10.45690259,7.540472017,0.465715568,Sprinkler Irrigation,12010.235,12905.24169
ajmer,Bajra,2007,Kharif     ,10.42789975,7.626122487,0.517840762,Canal Irrigation,8318.884321,8775.857827
ajmer,Bajra,2008,Kharif     ,10.42531831,7.623054112,0.517840762,Drip Irrigation,15896.18643,16849.76939
ajmer,Bajra,2009,Kharif     ,10.44568967,6.20894182,0.074491701,Sprinkler Irrigation,11392.33063,10973.48962
ajmer,Bajra,2010,Kharif     ,10.53013834,7.865935005,0.608948518,Sprinkler Irrigation,12010.235,12905.24169
ajmer,Bajra,2011,Kharif     ,10.33151084,7.706711308,0.59211137,Canal Irrigation,8318.884321,8775.857827
ajmer,Bajra,2012,Kharif     ,10.28404533,7.584863916,0.544799907,Drip Irrigation,15896.18643,16849.76939
ajmer,Bajra,2013,Kharif     ,10.25243843,7.63592435,0.581021156,Sprinkler Irrigation,11392.33063,10973.48962
ajmer,Bajra,2014,Kharif     ,10.27139708,7.694153633,0.604839225,Sprinkler Irrigation,12010.235,12905.24169
ajmer,Bajra,2015,Kharif     ,10.16494649,7.326119001,0.452107755,Canal Irrigation,8318.884321,8775.857827
ajmer,Bajra,2016,Kharif     ,10.17137741,7.461492725,0.517840762,Drip Irrigation,15896.18643,16849.76939
ajmer,Bajra,2017,Kharif     ,10.12593984,7.537450361,0.571811819,Sprinkler Irrigation,11392.33063,10973.48962
ajmer,Bajra,2018,Kharif     ,10.16818193,7.745271417,0.66530762,Sprinkler Irrigation,12010.235,12905.24169
ajmer,Bajra,2019,Kharif     ,10.17250393,7.699871556,0.639640913,Canal Irrigation,8318.884321,8775.857827
alwar,Bajra,1997,Kharif     ,11.00871611,8.012722356,0.526189223,Tube Well,13707.24851,13088.40604
alwar,Bajra,1998,Kharif     ,11.09060851,8.164319296,0.581021156,Tube Well,12145.25496,11292.3144
alwar,Bajra,1999,Kharif     ,11.08446528,8.112508715,0.554922674,Drip Irrigation,13978.14248,14583.01528
alwar,Bajra,2000,Kharif     ,11.15865293,8.233955537,0.594275554,Tube Well,12502.22588,13450.4404
alwar,Bajra,2001,Kharif     ,11.11128882,8.392793696,0.692789957,Sprinkler Irrigation,13113.39831,12679.3328
alwar,Bajra,2002,Kharif     ,10.91852342,7.785526369,0.4415222,Canal Irrigation,6214.929226,6289.796212
alwar,Bajra,2003,Kharif     ,11.28715448,8.466149632,0.674841114,Tube Well,6679.606938,6995.530343
alwar,Bajra,2004,Kharif     ,11.12612149,8.317000367,0.648504634,Tube Well,13707.24851,13088.40604
alwar,Bajra,2005,Kharif     ,11.23788314,8.265786071,0.585512011,Tube Well,12145.25496,11292.3144
alwar,Bajra,2006,Kharif     ,11.2846151,8.484766329,0.68548445,Drip Irrigation,13978.14248,14583.01528
alwar,Bajra,2007,Kharif     ,11.33395481,8.499884617,0.67639241,Tube Well,12502.22588,13450.4404
alwar,Bajra,2008,Kharif     ,11.26333198,8.436830016,0.666923978,Sprinkler Irrigation,13113.39831,12679.3328
alwar,Bajra,2009,Kharif     ,11.43100716,8.333882424,0.557398313,Canal Irrigation,6214.929226,6289.796212
alwar,Bajra,2010,Kharif     ,11.41949869,8.586626838,0.694222655,Tube Well,6679.606938,6995.530343
alwar,Bajra,2011,Kharif     ,11.40306637,8.62987783,0.721049408,Tube Well,13707.24851,13088.40604
alwar,Bajra,2012,Kharif     ,11.31470458,8.554043804,0.710719018,Tube Well,12145.25496,11292.3144
alwar,Bajra,2013,Kharif     ,11.32303211,8.529349059,0.695646104,Drip Irrigation,13978.14248,14583.01528
alwar,Bajra,2014,Kharif     ,11.34595777,8.583247421,0.715947569,Tube Well,12502.22588,13450.4404
alwar,Bajra,2015,Kharif     ,11.38499258,8.543295192,0.682494161,Sprinkler Irrigation,13113.39831,12679.3328
alwar,Bajra,2016,Kharif     ,11.42083127,8.661506249,0.732089064,Canal Irrigation,6214.929226,6289.796212
alwar,Bajra,2017,Kharif     ,11.42755505,8.617763455,0.708055701,Tube Well,6679.606938,6995.530343
alwar,Bajra,2018,Kharif     ,11.421571,8.645235118,0.723554279,Tube Well,13707.24851,13088.40604
alwar,Bajra,2019,Kharif     ,11.45351414,8.670861271,0.726029203,Tube Well,12145.25496,11292.3144
bhilwara,Bajra,1997,Kharif     ,6.469958938,4.667750044,0.37013819,Sprinkler Irrigation,11182.19502,10829.55677
bhilwara,Bajra,1998,Kharif     ,6.445558996,4.489402232,0.308307117,Tube Well,13009.00115,12567.34291
bhilwara,Bajra,1999,Kharif     ,6.463921347,4.354347534,0.259028162,Tube Well,5664.668931,6018.313816
bhilwara,Bajra,2000,Kharif     ,6.428912901,4.492760763,0.313429746,Sprinkler Irrigation,11182.19502,10829.55677
bhilwara,Bajra,2001,Kharif     ,6.795467985,5.074340262,0.4415222,Tube Well,13009.00115,12567.34291
bhilwara,Bajra,2002,Kharif     ,7.321267469,4.691173329,0.182915944,Tube Well,5664.668931,6018.313816
bhilwara,Bajra,2003,Kharif     ,7.70357138,5.939228451,0.559852518,Sprinkler Irrigation,11182.19502,10829.55677
bhilwara,Bajra,2004,Kharif     ,7.297597411,5.339510822,0.411566607,Tube Well,13009.00115,12567.34291
bhilwara,Bajra,2005,Kharif     ,7.291281774,5.083213763,0.308307117,Tube Well,5664.668931,6018.313816
bhilwara,Bajra,2006,Kharif     ,7.429878432,6.001941992,0.673279257,Sprinkler Irrigation,11182.19502,10829.55677
bhilwara,Bajra,2007,Kharif     ,7.52163962,5.73210492,0.517840762,Tube Well,13009.00115,12567.34291
bhilwara,Bajra,2008,Kharif     ,7.46045792,5.74884045,0.544799907,Tube Well,5664.668931,6018.313816
